b_course,cc_name,cc_course
MATH 1A,Allan Hancock College,MATH 181
MATH 1B,Allan Hancock College,MATH 182
MATH 53,Allan Hancock College,MATH 183
MATH 54,Allan Hancock College,MATH 184
PHYSICS 7A,Allan Hancock College,PHYS 161
PHYSICS 7C,Allan Hancock College,PHYS 162
PHYSICS 7B,Allan Hancock College,PHYS 163
ENGLISH R1A,Allan Hancock College,ENGL 101
ENGLISH R1B,Allan Hancock College,ENGL 102
CHEM 1A,Allan Hancock College,CHEM 150
CHEM 1AL,Allan Hancock College,CHEM 150
CHEM 1B,Allan Hancock College,CHEM 151
CHEM 3A,Allan Hancock College,CHEM 180
CHEM 3AL,Allan Hancock College,CHEM 180
CHEM 3B,Allan Hancock College,CHEM 181
CHEM 3BL,Allan Hancock College,CHEM 181
BIOLOGY 1A,Allan Hancock College,BIOL 150
BIOLOGY 1AL,Allan Hancock College,BIOL 150
BIOLOGY 1B,Allan Hancock College,BIOL 155
BIOLOGY 1B,Allan Hancock College,BIOL 154
MCELLBI 32,Allan Hancock College,BIOL 125
MCELLBI 32L,Allan Hancock College,BIOL 125
MATSCI,Allan Hancock College,ENGR 161
MATSCI,Allan Hancock College,ENGR 162
MECENG,Allan Hancock College,ENGR 152
MECENG,Allan Hancock College,ENGR 156
MECENG,Allan Hancock College,ENGR 40
ENGIN 7,Allan Hancock College,ENGR 7
COMPSCI 61A,Allan Hancock College,ENGR 7
